1,Unforgive,Heavy Metal,Metallican,Unknown,1990
2,November Rain,Hard Rock,Guns'n Roses,Unknown,1992
3,Higyway To Hell,Hard Rock,AC/DC,Megamind,1979,Bratt Pitt,TinaFey
4,BGohemian Rapsody,Rock,Queen,Unknown,1975
5,My Way,Jazz,Frank Sinatra,Sing,1968
6,Dig A Little Deeper,Jazz,Jenifer Lewis,Princess & The Frog,2009
7,Lowrider,Funk,War,Gone In 60 Seconds,1974,Nickolas Cage,Angelina Jolie
8,Give Me One Reason,Blues,Tracy Chapman,Unknown,1995
9,Baby Please Don't Go,Blues,Muddy Waters,A Lot Like Love,1935
10,Pretty Woman,Pop,Ray Orbison,Pretty Woman,1964,Julia Roberts,Richard Geere
11,Ain't No Mountain High Enough,Pop-Soul,Martin Gaye,Stepmon,1967,Julia Roberts,Richard Geere
12,I Don't Wanna Talk About It,Pop,Rod Stewart,Unknow,1975
13,Unchained Melody,Country,The Righteous Brothers,Ghost,1955,Patrick Swazye,Who
14,I Want To Know What Love Is,Classic Rock,Foreigner,Unknown,1983
15,Bad To The Bone,Classic Rock,George Thorogood,Terminator,1982,Arnold Schwarzer
16,Dream On,Classic Rock,Aerosmith,Sing,1972
17,Uptown Girl,Soft Rock,Billy Joel,Unknown,1983
18,Don't Stop Believing,Rock,Journey,Unknown,1981
19,Aways,Rock,Bon Jovi,Unknown,1994
20,Halleuiah,Classical,Andre Bocelli,Shrek,1983
21,Carol Of The Bell,Christmas Carol,Trans-siberian Orchestra,Unknown,2013
22,What A Wonderfull World,Jazz,Louis Armstrong,Good Morning Vietnam,,1967
23,I Have Nothing,Pop-Soul,Whitney Houston,The Bodyguard,1991
24,Walk The Line,Country,Johnny Crash,Walk The Line,1975
25,Lean On Me,Soul,Bill Withers,Unknown,1972
26,Hello,R&B,Linonel Richie,40 Year Old Virgin,1984
27,Sound Of Silence,Folk,Simon & Garfunkel,Watchmen,1965
28,Sway,Pop,Dean Martin,No Reservations,1954
29,Sweet Caroline,Soft Rock,Neil Diamond,Unknown,1969
