1,Unforgive,HeavyMetal,Metallican,Unknown,1990,www.Metallican.com
2,November Rain,HardRock,Guns'n Roses,Unknown,1992,www.Guns'n Roses.com
3,Higyway To Hell,HardRock,AC/DC,Megamind,1979,www.AC/DC.com
4,BGohemian Rapsody,Rock,Queen,Unknown,1975,www.Queen.com
5,My Way,Jazz,Frank Sinatra,Sing,1968,www.Frank Sinatra.com
6,Dig A Little Deeper,Jazz,Jenifer Lewis,Princess & The Frog,2009,www.Jenifer Lewis.com
7,Lowrider,Funk,War,Gone In 60 Seconds,1974,www.War.com
8,Give Me One Reason,Blues,Tracy Chapman,Unknown,1995,www.Tracy Chapman.com
9,Baby Please Don't Go,Blues,Muddy Waters,A Lot Like Love,1935,www.Muddy Waters.com
10,Pretty Woman,Pop,Ray Orbison,Pretty Woman,1964,www.Ray Orbison.com
11,Ain't No Mountain High Enough,PopSoul,Martin Gaye,Stepmon,1967,www.Martin Gaye.com
12,I Don't Wanna Talk About It,Pop,Rod Stewart,Unknow,1975,www.Rod Stewart.com
13,Unchained Melody,Country,The Righteous Brothers,Ghost,1955,www.The Righteous Brothers.com
14,I Want To Know What Love Is,ClassicRock,Foreigner,Unknown,1983,www.Foreigner.com
15,Bad To The Bone,ClassicRock,George Thorogood,Terminator,1982,www.George Thorogood.com
16,Dream On,ClassicRock,Aerosmith,Sing,1972,www.Aerosmith.com
17,Uptown Girl,SoftRock,Billy Joel,Unknown,1983,www.Billy Joel.com
18,Don't Stop Believing,Rock,Journey,Unknown,1981,www.Journey.com
19,Aways,Rock,Bon Jovi,Unknown,1994,www.Bon Jovi.com
20,Halleuiah,Classical,Andre Bocelli,Shrek,1983,www.Andre Bocelli.com
21,Carol Of The Bell,ChristmasCarol,Trans-siberian Orchestra,Unknown,2013,www.Trans-siberian Orchestra.com
22,What A Wonderfull World,Jazz,Louis Armstrong,Good Morning Vietnam,2023,www.Louis Armstrong.com
23,I Have Nothing,PopSoul,Whitney Houston,The Bodyguard,1991,www.Whitney Houston.com
24,Walk The Line,Country,Johnny Crash,Walk The Line,1975,www.Johnny Crash.com
25,Lean On Me,Soul,Bill Withers,Unknown,1972,www.Bill Withers.com
26,Hello,RB,Linonel Richie,40 Year Old Virgin,1984,www.Linonel Richie.com
27,Sound Of Silence,Folk,Simon & Garfunkel,Watchmen,1965,www.Simon & Garfunkel.com
28,Sway,Pop,Dean Martin,No Reservations,1954,www.Dean Martin.com
29,Sweet Caroline,SoftRock,Neil Diamond,Unknown,1969,www.Neil Diamond.com
30,Sweet Caroline,Rock,Neil Diamond,Unknown,1,www.song.el
